                                              Word  Frequency
0                                           boston      21325
1                                            mayor       6646
2                                           public       6082
3                                            walsh       4888
4                                        community       4300
5                                          library       3258
6                                           street       3197
7                                          housing       2939
8                                        residents       2901
9                                          program       2589
10                                          people       2309
11                                        services       1958
12                                     information       1937
13                                     development       1928
14                                           youth       1874
15                                      department       1831
16                                          office       1800
17                                         support       1790
18                                           today       1789
19                                          school       1705
20                                          martin       1668
21                                        programs       1578
22                                    neighborhood       1506
23                                          center       1488
24                                        building       1356
25                                           local       1351
26                                         provide       1277
27                                        cultural       1273
28                                         project       1268
29                                         process       1260
30                                       including       1260
31                                          access       1248
32                                       announced       1223
33                                     opportunity       1215
34                                   neighborhoods       1212
35                                   massachusetts       1194
36                                         streets       1160
37                                          health       1155
38                                          across       1147
39                                         bostons       1136
40                                         million       1126
41                                        business       1115
42                                        students       1106
43                                          summer       1105
44                                         parking       1069
45                                         service       1069
46                                         climate       1053
47                                         working       1044
48                                          design       1039
49                                           state       1037
50                                          cities       1036
51                                          create       1026
52                                           space       1022
53                                      commission       1004
54                                        families       1000
55                                      affordable        990
56                                           urban        969
57                                       education        952
58                                           young        951
59                                  transportation        951
60                                         forward        940
61                                       available        933
62                                          square        933
63                                   opportunities        933
64                                         include        933
65                                           every        921
66                                        director        913
67                                           units        908
68                                           staff        894
69                                          future        881
70                                         schools        879
71                                           event        877
72                                         council        874
73                                           place        870
74                                        projects        860
75                                         artists        854
76                                     communities        836
77                                          change        832
78                                     partnership        829
79                                        economic        828
80                                       resources        828
81                                        together        826
82                                     application        825
83                                         funding        823
84                                      throughout        819
85                                      foundation        813
86                                        continue        811
87                                          mayors        799
88                                        addition        774
89                                        planning        773
90                                       president        770
91                                           learn        757
92                                       committee        753
93                                         percent        746
94                                        national        745
95                                           great        741
96                                         traffic        727
97                                           chief        726
98                                          safety        726
99                                       important        721
100                                          women        721
101                                     businesses        717
102                                        culture        717
103                                        roxbury        717
104                                        members        717
105                                          early        712
106                                         events        706
107                                     initiative        705
108                                  organizations        698
109                                       children        693
110                                         action        687
111                                         around        681
112                                       partners        676
113                                        college        676
114                                          south        675
115                                         income        666
116                                         energy        660
117                                        efforts        658
118                                         system        657
119                                          based        655
120                                         ensure        654
121                                     additional        651
122                                         making        651
123                                     innovation        650
124                                         police        647
125                                          share        642
126                                         family        639
127                                          since        619
128                                     dorchester        618
129                                          would        606
130                                         better        604
131                                        improve        602
132                                       received        600
133                                          right        588
134                                         online        587
135                                        digital        586
136                                          serve        581
137                                     experience        579
138                                         avenue        579
139                                        centers        577
140                                     commitment        573
141                                     government        573
142                                          proud        573
143                                         social        570
144                                     leadership        568
145                                      executive        568
146                                        special        567
147                                          world        567
148                                          board        562
149                                          goals        561
150                                          build        561
151                                      providing        559
152                                          books        558
153                                     engagement        558
154                                          small        557
155                                        website        556
156                                         vision        555
157                                       increase        554
158                                    individuals        552
159                                          needs        542
160                                          works        541
161                                        address        537
162                                       historic        537
163                                     university        532
164                                       possible        527
165                                        quality        523
166                                       creating        523
167                                       recovery        521
168                                      municipal        520
169                                        central        520
170                                          month        518
171                                        leaders        517
172                                         policy        512
173                                         budget        510
174                                          parks        509
175                                     bostonians        509
176                                         united        503
177                                         states        500
178                                   significance        497
179                                      currently        496
180                                      locations        494
181                                          civic        490
182                                        history        487
183                                         annual        487
184                                         spaces        487
185                                          found        486
186                                     innovative        485
187                                     technology        484
188                                      committed        483
189                                         growth        482
190                                          bring        480
191                                          grant        477
192                                        america        474
193                                        private        472
194                                         number        471
195                                          pilot        471
196                                        created        468
197                                          areas        468
198                                        located        463
199                                       homeless        463
200                                       visitors        462
201                                          large        461
202                                        mission        457
203                                 administration        457
204                                        imagine        455
205                                   construction        455
206                                          input        454
207                                       district        452
208                                         effort        450
209                                         impact        449
210                                          thank        448
211                                      emergency        448
212                                         report        448
213                                    initiatives        446
214                                       proposed        442
215                                         branch        442
216                                   commissioner        441
217                                          group        440
218                                         series        440
219                                     management        438
220                                       american        431
221                                        country        431
222                                    established        431
223                                          award        430
224                                      financial        430
225                                       citywide        429
226                                       training        427
227                                     accessible        426
228                                         friday        424
229                                         strong        420
230                                   commonwealth        418
231                                          lives        418
232                                         monday        415
233                                         serves        414
234                                          offer        414
235                                         equity        412
236                                     investment        409
237                                        success        409
238                                          begin        405
239                                       learning        404
240                                       provides        404
241                                         served        402
242                                       includes        402
243                                         august        399
244                                        capital        398
245                                         within        396
246                                          house        395
247                                       resident        391
248                                      september        388
249                                          ideas        386
250                                          focus        385
251                                         issues        384
252                                       everyone        383
253                                       designed        380
254                                         second        379
255                                        excited        377
256                                        partner        377
257                                          funds        375
258                                        current        373
259                                          north        372
260                                        greater        369
261                                         review        368
262                                          using        368
263                                   homelessness        367
264                                     resilience        365
265                                  collaboration        364
266                                        meeting        360
267                                       provided        359
268                                         worked        358
269                                     encouraged        358
270                                     properties        357
271                                        several        357
272                                          green        356
273                                       saturday        354
274                                    programming        352
275                                         artist        351
276                                       creative        351
277                                        federal        351
278                                     activities        350
279                                       existing        348
280                                      buildings        348
281                                          plaza        347
282                                        receive        347
283                                      workforce        343
284                                       critical        342
285                                    environment        342
286                                        develop        341
287                                      beginning        341
288                                    departments        340
289                                      encourage        339
290                                     historical        338
291                                          order        338
292                                     employment        334
293                                       violence        333
294                                         taking        332
295                                         member        331
296                                        connect        329
297                                       property        329
298                                          homes        328
299                                       vehicles        326
300                                         expand        326
301                                       regional        324
302                                         become        324
303                                     assistance        324
304                                        network        323
305                                     challenges        321
306                                        creates        320
307                                       launched        320
308                                         launch        318
309                                        diverse        317
310                                     washington        316
